mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.07301871776580811,0.0012042695522197248,0.11419343948364258,0.0011845403510423707,11,{'n_neighbors': 11},-11862302667.368475,-11218742898.919474,-11915220349.141285,-11612349339.906902,-11297068672.057787,-11387838035.410753,-11672643288.596973,-11252788676.03214,-11243174758.144997,-11603417326.172829,-11506554601.175161,248254785.7356336,11
0.07293391227722168,0.001096961332955369,0.11930153369903565,0.002777417220209647,12,{'n_neighbors': 12},-12531912936.800983,-11873840457.629015,-12583547344.543863,-12285756154.717075,-12016772308.722416,-12052720428.343145,-12470202869.354088,-11938430346.727297,-11961133406.861423,-12393556230.345966,-12210787248.404528,257110575.0090217,12
0.07180919647216796,0.0009401900812340189,0.12170698642730712,0.0009771309852552581,13,{'n_neighbors': 13},-13236689738.267801,-12553957632.271856,-13241042986.080578,-12912197953.58417,-12690892542.431332,-12710163468.099125,-13180855543.357979,-12604191938.936056,-12631680875.995785,-13109292723.84338,-12887096540.286808,266428995.27996373,13
0.07163105010986329,0.0007923379184861182,0.12609598636627198,0.0012521916342971226,14,{'n_neighbors': 14},-13859782368.694,-13159466631.807997,-13888946590.352617,-13509580303.504492,-13322678730.624905,-13355195683.87807,-13865025339.930246,-13239460799.353643,-13261042625.358541,-13763803067.630268,-13522498214.113476,277838774.3721364,14
0.07161588668823242,0.0007018984400463391,0.13037972450256347,0.0011403824216766206,15,{'n_neighbors': 15},-14455771046.675634,-13767099355.080961,-14477380199.559088,-14087315547.270844,-13899861587.367426,-13937397180.355345,-14490424666.516178,-13859232754.74953,-13883382212.99615,-14372349566.127766,-14123021411.669895,277968637.2671227,15
0.07110347747802734,0.0005278020145987908,0.13427817821502686,0.0013510359251004912,16,{'n_neighbors': 16},-15012900465.414286,-14292215318.10281,-15059511497.654497,-14644045106.752203,-14486790198.663334,-14495022520.06197,-15027958365.072464,-14477193509.021532,-14492701248.571575,-14923168885.14385,-14691150711.445852,270784443.41256315,16
0.07139797210693359,0.001077961253837021,0.13892073631286622,0.001314589804214082,17,{'n_neighbors': 17},-15495219661.57113,-14810060713.442764,-15586720017.634167,-15146988776.198565,-15045983832.223679,-14988346031.986782,-15535436040.437416,-15018489516.45195,-15041603885.988165,-15402193986.158457,-15207104246.209305,259040279.97049606,17
0.07244102954864502,0.0016439522644764984,0.1441568374633789,0.002465109344391769,18,{'n_neighbors': 18},-15949239231.704554,-15257712425.698545,-16058675360.301596,-15620972286.10108,-15556032693.778051,-15478238526.716768,-16014331667.388237,-15499755789.56669,-15537287830.372316,-15847815280.770878,-15682006109.239872,254268670.93880042,18
0.07308156490325927,0.003019529207665078,0.14585633277893068,0.0018546232258722056,19,{'n_neighbors': 19},-16363116043.298447,-15700685596.697971,-16493034116.725334,-16056833291.074673,-16016729141.421328,-15903872432.404552,-16477185430.09511,-15950153805.209023,-15991297282.422222,-16265476135.643412,-16121838327.499207,250913037.289883,19
0.07148489952087403,0.0008880075626963625,0.14898531436920165,0.0010312064334187833,20,{'n_neighbors': 20},-16730873708.647749,-16132968545.818928,-16883070073.770536,-16431121443.744942,-16466163164.46509,-16333930519.718782,-16911109967.279764,-16358863525.683119,-16418336150.87624,-16646388260.083935,-16531282536.008907,239889379.56592947,20
0.07157678604125976,0.0007086928221346639,0.15250282287597655,0.0013359410802006937,21,{'n_neighbors': 21},-17075795898.56872,-16524989367.04423,-17244862250.96325,-16796916661.56369,-16824344071.759857,-16729892682.931437,-17316064868.851925,-16774158940.440765,-16823111463.755205,-17019224960.59894,-16912936116.647802,233056343.5833529,21
0.07163064479827881,0.0013822787035463267,0.155279541015625,0.0015371270711583675,22,{'n_neighbors': 22},-17419535461.973125,-16895419339.410944,-17579810667.311207,-17148949422.77099,-17164227616.010227,-17119349749.294594,-17673089981.35969,-17147598721.80088,-17193610700.20787,-17342314409.020473,-17268390606.916,222641666.39371026,22
0.07148840427398681,0.001241164739123634,0.1577714204788208,0.0014083335622337948,23,{'n_neighbors': 23},-17724337913.603374,-17219557428.362965,-17876462768.42012,-17487970835.39479,-17479176720.069508,-17479191570.83773,-18027872378.663193,-17510231904.663548,-17523890172.01989,-17628089099.678368,-17595678079.17135,218151232.27938944,23
0.07167048454284668,0.0009798076265547337,0.160675048828125,0.0017457833527186107,24,{'n_neighbors': 24},-18022699080.284348,-17531178270.905457,-18158516135.200024,-17802421298.516098,-17766782294.945248,-17800346069.008785,-18354576345.30975,-17829706799.838448,-17826697302.36956,-17904090891.834892,-17899701448.821266,217275057.8071431,24
0.07148809432983398,0.0009011110408757516,0.16292982101440429,0.001059754084017748,25,{'n_neighbors': 25},-18310032496.814453,-17814048963.28738,-18399831080.292877,-18090648824.024765,-18034340961.794285,-18101654220.52791,-18657322414.08567,-18115417021.203163,-18106812003.541935,-18124863489.17284,-18175497147.47453,217874728.58589154,25
0.07150728702545166,0.0010830282510875897,0.1660238742828369,0.0011406812008932562,26,{'n_neighbors': 26},-18539073707.656902,-18080929901.92886,-18655844380.75483,-18361081506.765804,-18281506108.046047,-18405479475.774784,-18935064849.93234,-18339584158.000664,-18344776407.870556,-18352349221.183395,-18429568971.79142,221067979.48329484,26
0.07184083461761474,0.0012087538114390248,0.16918208599090576,0.0013509063572053383,27,{'n_neighbors': 27},-18759251369.5496,-18307343397.629593,-18863694548.674435,-18616551838.89427,-18529202693.224674,-18628421505.113506,-19172963532.729095,-18559885274.77772,-18578137347.25319,-18547302603.652477,-18656275411.149853,220934351.73564836,27
0.07135136127471924,0.0007274986168021867,0.1719339370727539,0.0027017274315064583,28,{'n_neighbors': 28},-18972915329.1578,-18531750161.46465,-19051565511.44675,-18845116471.03407,-18750913283.591595,-18856073545.50463,-19403968406.892647,-18761084757.811024,-18799276867.95819,-18744473480.578674,-18871713781.544003,221512849.04445148,28
0.07156872749328613,0.001064161760330419,0.17384798526763917,0.0011880816304056312,29,{'n_neighbors': 29},-19186013843.141888,-18756426729.80946,-19255375106.384617,-19036220479.7885,-18960756697.478973,-19093539587.042416,-19644238389.182228,-18958720127.123123,-18999905624.69075,-18936187600.338806,-19082738418.498077,228715948.14267954,29
