mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.059669113159179686,0.013617843016650585,0.003292417526245117,0.0010408461366795431,3,{'max_depth': 3},0.2672651547068676,0.2652793065360399,0.2651397163014354,0.25158497915502787,0.2708216382136134,0.25882989500720555,0.25541525269472176,0.2709822336433352,0.2641715066533835,0.26365245992147,0.26331421428331003,0.005990750712118775,27
0.11331031322479249,0.03212791883096667,0.005524325370788574,0.002817565277706004,4,{'max_depth': 4},0.3432090063980142,0.3407087011907548,0.3405698409677107,0.32665826611167614,0.3482263944096142,0.3320840543795369,0.33209239023878023,0.3451888169338553,0.33579650497690217,0.33854130826808393,0.3383075283874929,0.006325100671606815,26
0.11934115886688232,0.05764054001911015,0.003887367248535156,0.001313026550699267,5,{'max_depth': 5},0.40556627409110935,0.4026431663653103,0.3957243070755274,0.3835453462145504,0.4128792841111333,0.3898451563238199,0.39355394197619864,0.4011451377037132,0.3989269046330389,0.3963263448940405,0.3980155863388442,0.007836676784858498,25
0.16201372146606446,0.050589015642712946,0.005587720870971679,0.002005320615713249,6,{'max_depth': 6},0.47350016686425134,0.47389726556648515,0.46491158205051974,0.4660349668698721,0.4855163835917632,0.4657312400910226,0.4734213151928477,0.47325476573973857,0.47621716053856056,0.4661228094700697,0.47186076559751305,0.006077778426368221,24
0.17771921157836915,0.08812529996193617,0.004883337020874024,0.0018740966162018708,7,{'max_depth': 7},0.4990875074359089,0.5060523965214863,0.4924828953989625,0.4986912939971656,0.5119032147270475,0.4928539759813628,0.5005017603008263,0.5040958116098353,0.5072656231918589,0.4975512130649956,0.5010485692229449,0.005943519153157933,23
0.1041428804397583,0.009899184358299262,0.0033268451690673826,0.00043562781411601577,8,{'max_depth': 8},0.5228520757922708,0.5265975481395165,0.5190945697534802,0.524926879798495,0.5342918915711135,0.5174337270547056,0.5242520109123768,0.5242015190644215,0.5304346526755654,0.5265250272605415,0.5250609902022487,0.004676044759773284,22
0.11526961326599121,0.022690976710975,0.0032197713851928713,0.00023852453380859894,9,{'max_depth': 9},0.5377150721980111,0.5477810497963181,0.5423317074438374,0.5453366448568009,0.5551034930424077,0.5394974019823917,0.5486929262779776,0.5451553173790471,0.549643492754076,0.544045357577791,0.5455302463308659,0.004834462389514729,21
0.11682400703430176,0.008668230531915726,0.0034186840057373047,0.0004211349277129714,10,{'max_depth': 10},0.5646756468516099,0.5688587825362177,0.5705955966041354,0.571861117567632,0.574939934831881,0.5688013897662346,0.5750653072334597,0.565404803744417,0.5736062833553399,0.5624704453777227,0.5696279307868649,0.004176092836030238,20
0.12185895442962646,0.011661495530661984,0.0036762714385986327,0.0008952771882660051,11,{'max_depth': 11},0.5909518846188597,0.6002187390485845,0.6030506645497797,0.6009446394946508,0.599642132019133,0.5960852175056872,0.6088895968296387,0.5911628256145137,0.6035218977360293,0.5917818858733758,0.5986249483290252,0.005707213011244887,19
0.13023529052734376,0.006449453110196691,0.003689861297607422,0.0003913865219521833,12,{'max_depth': 12},0.618577554234957,0.6284413605067958,0.6362836244582124,0.6303638346844334,0.6342918385046661,0.6267163531566424,0.6393721221935258,0.6214283875600229,0.6401065688921311,0.6211942976752511,0.6296775941866638,0.007359844006681748,18
